Domain,Mode,Peclet,U_ref,Sulcus Width (mm),Sulcus Depth (mm),Aspect_Ratio,U_ref (Dim),Diff Coef (Dim),Delta (mm),Total Mass,Sulcus Mass,Main Channel Mass,Avg Concentration,Sulcus Avg Concentration,Main Channel Avg Concentration,Mouth_Flux_Total,Inlet-Outlet Flux,Mouth E_L1,Mouth E_avg,Mouth Q_in,Mouth Q_out,Mouth Net Check,Mouth Length,Max_Ux_mid_channel,Avg_Ux_mid_channel,Max_Ux_sulcus_level,Avg_Ux_sulcus_level,Concentration_Ratio,Channel_Conc_Ratio,Intradomain_Enrichment,VR_mid_avg,VR_mid_max,VR_intradomain_avg,VR_intradomain_max
sulcus,no-uptake,1.0,1.0,0.5,0.3,0.6,0.0003,0.0003,1.0,8.601187378197544,0.09204757805860236,8.509139800138918,0.8519888879215936,0.964636674088032,0.8509139800138975,2.1786275221385214e-05,-1.1148287648254927e-05,0.02437259007629454,0.04874518015258908,0.012197188175645666,0.012175401900648869,2.1786274996798968e-05,0.5,1.0000345287615406,0.9978754716714814,0.2794091140999635,0.19531316634045925,1.001155114397761,0.9998920115984724,1.1336476973527654,0.9978754716714271,1.0000345287613075,0.19572899814172393,0.2793994667824004
sulcus,no-uptake,10.0,1.0,0.5,0.3,0.6,0.003,0.0003,0.1,9.93288058220286,0.09542201798050548,9.837458564222358,0.9838994907308299,1.0000000000095692,0.9837458564222424,1.2226770211999389e-06,-0.0009703752303711344,0.020851666218203484,0.04170333243640697,0.0104264444476003,0.010425221770603186,1.2226769971132592e-06,0.5,1.0000345287615406,0.9978754716714814,0.2794091140999635,0.19531316634045925,1.000156172660167,0.9999999998970813,1.016522706023323,0.9978754716714271,1.0000345287613075,0.19572899814172393,0.2793994667824004
sulcus,no-uptake,0.1,1.0,0.8,0.6,0.7499999999999999,3e-05,0.0003,10.0,5.7268097420651625,0.17771177938758315,5.549097962677597,0.5557043363800928,0.5817123946530921,0.5549097962677318,-9.793664312003637e-05,-4.169871761217081e-07,0.3194681499180083,0.3993351873975101,0.1596851066365532,0.1597830432814552,-9.793664490201359e-05,0.8000000000000007,1.0000880559159389,0.9937172104694518,0.3620616373123713,0.2030357164311221,1.0010034725919559,0.9995722485407494,1.0483008203596906,0.9937172104693978,1.0000880559157057,0.2043194122955805,0.3620297584503938
sulcus,no-uptake,1.0,1.0,0.8,0.6,0.7499999999999999,0.0003,0.0003,1.0,8.802082535471953,0.29449072251492564,8.507591812957031,0.8541152324668219,0.9639704469091942,0.8507591812956606,2.8431621534359613e-05,-8.910783297455538e-06,0.06411867187787737,0.08014833984734664,0.032073551749565984,0.032045120128311386,2.843162125459181e-05,0.8000000000000007,1.0000880559159389,0.9937172104694518,0.3620616373123713,0.2030357164311221,1.003653739375864,0.9997101107184702,1.133070871408192,0.9937172104693978,1.0000880559157057,0.2043194122955805,0.3620297584503938
sulcus,no-uptake,10.0,1.0,0.8,0.6,0.7499999999999999,0.003,0.0003,0.1,10.142956231165071,0.30549766692768143,9.837458564237425,0.9842276966126908,1.0000000000104166,0.9837458564236934,-4.791490370646332e-06,-0.0009152463792528877,0.059103460670077636,0.07387932583759699,0.02954933458983858,0.029554126080239076,-4.7914904004880965e-06,0.8000000000000007,1.0000880559159389,0.9937172104694518,0.3620616373123713,0.2030357164311221,1.0004898013912917,0.9999999998985563,1.016522706022685,0.9937172104693978,1.0000880559157057,0.2043194122955805,0.3620297584503938
sulcus,no-uptake,0.1,1.0,1.0,0.9,0.9,3e-05,0.0003,10.0,5.880694148273062,0.33300318549460045,5.5476909627784785,0.5562059604021816,0.5812877478191947,0.5547690962778132,0.00018084128630169687,-8.046081434454068e-07,0.4179402465860855,0.4179402465860855,0.2090605439350866,0.2088797026509988,0.00018084128408782374,1.0,1.000139694274525,0.9893622793686208,0.41009527145292995,0.2096403410401192,1.0019070599048017,0.9993188022937404,1.0478012414882274,0.9893622793685669,1.000139694274292,0.21189441462626302,0.4100379914931806
sulcus,no-uptake,1.0,1.0,1.0,0.9,0.9,0.0003,0.0003,1.0,9.057952283692961,0.5518745378236453,8.506077745869238,0.8567163879298283,0.9633478631557036,0.8506077745868706,5.5867524275740957e-05,-1.0557211614248274e-05,0.1021407704198726,0.1021407704198726,0.05109831897189935,0.05104245144797325,5.586752392609806e-05,1.0,1.000139694274525,0.9893622793686208,0.41009527145292995,0.2096403410401192,1.0067103051739055,0.9995321957209765,1.1325406279334673,0.9893622793685669,1.000139694274292,0.21189441462626302,0.4100379914931806
sulcus,no-uptake,10.0,1.0,1.0,0.9,0.9,0.003,0.0003,0.1,10.41033006679596,0.5728715025352925,9.837458564260654,0.9846265571567504,1.000000000011825,0.983745856426004,-1.5346372759568956e-06,-0.0009424267611221061,0.09650062676829904,0.09650062676829904,0.048249546065493136,0.04825108070280585,-1.5346373127070325e-06,1.0,1.000139694274525,0.9893622793686208,0.41009527145292995,0.2096403410401192,1.0008952521908194,0.999999999900905,1.016522706021729,0.9893622793685669,1.000139694274292,0.21189441462626302,0.4100379914931806
sulcus,no-uptake,0.1,1.0,0.2,0.2,1.0,3e-05,0.0003,10.0,5.566102538388221,0.014786241718882938,5.551316296669334,0.5552007018350347,0.5824071590051421,0.5551316296669109,0.00015095654008989625,-3.5111748553084965e-07,0.07114579515261539,0.3557289757630782,0.03564837584612053,0.03549741930649485,0.00015095653962568514,0.1999999999999993,1.0000042904118136,0.9997047006355934,0.2077389505299409,0.19083324418674544,1.0000962636761421,0.9999718423325877,1.0491334448995404,0.999704700635539,1.0000042904115805,0.19088961376836305,0.20773805924811736
sulcus,no-uptake,1.0,1.0,0.2,0.2,1.0,0.0003,0.0003,1.0,8.534398744520978,0.02449914344272317,8.509899601078267,0.8512786352782783,0.9649833136647658,0.850989960107792,1.0137643163935021e-05,-8.593087437280822e-06,0.004247269924146599,0.021236349620733067,0.0021287037836209143,0.002118566140525686,1.0137643095228454e-05,0.1999999999999993,1.0000042904118136,0.9997047006355934,0.2077389505299409,0.19083324418674544,1.000320510711668,0.9999812942882743,1.1339538172019499,0.999704700635539,1.0000042904115805,0.19088961376836305,0.20773805924811736
