geometry,width_mm,depth_mm,aspect_ratio,mu_factor,avg_conc_sulc,avg_conc_rect,flux_sulc_y0,flux_rect_bottom,CR,flux_ratio,flux_error_pct
deep_large,0.4,2.0,5.0,1.0,0.10918211226419912,0.11495849446677163,0.8986072608682989,0.8984854075749927,0.949752454315221,0.9998643976088192,-0.013560239118079107
deep_medium,0.5,1.5,3.0,1.0,0.10955236730084998,0.11495849446679293,0.8984023338123258,0.8984813954937644,0.9529732257627593,1.0000880025334564,0.008800253345632942
deep_small,0.3,1.0,3.3333333333333335,1.0,0.11256813748603392,0.11495849446666812,0.898572539334604,0.8984846724054072,0.979206782485071,0.9999022149850452,-0.009778501495481751
largest,1.0,2.0,2.0,1.0,0.10218636290884334,0.11495849446677087,0.8984421686021524,0.8984861199076002,0.8888978877361746,1.0000489194596867,0.0048919459686700435
macro_square,1.0,1.0,1.0,1.0,0.10825122016584544,0.11495849446677087,0.8984202780268967,0.8984861199076002,0.9416548178363263,1.0000732862807238,0.007328628072383554
micro_depth_wide,1.0,0.05,0.05,1.0,0.11465005192372027,0.1149584944667696,0.898471115971875,0.8984860401717881,0.9973169225599201,1.0000166106618764,0.0016610661876391927
micro_square,0.01,0.01,1.0,1.0,0.11494655361043436,0.11495849446667387,0.8983548972721862,0.8984843272984633,0.9998961289785944,1.0001440744929093,0.014407449290930116
micro_width_deep,0.05,1.0,20.0,1.0,0.11441396241102372,0.11495849446667387,0.8982287263470274,0.8984843272984633,0.9952632290621376,1.0002845610966766,0.028456109667671772
mod_deep_large,1.0,1.5,1.5,1.0,0.10512925724615906,0.11495849446677087,0.8986460047014828,0.8984861199076002,0.9144975126352843,0.9998220825630492,-0.017791743695086782
mod_deep_small,0.5,0.8,1.6,1.0,0.11194108220097589,0.11495849446679293,0.8984170988579833,0.8984813954937644,0.9737521591613341,1.000071566576218,0.007156657621815513
mod_wide_large,1.0,0.9,0.9,1.0,0.10890046256419103,0.11495849446677087,0.8984685307255111,0.8984861199076002,0.947302442236394,1.0000195768482563,0.001957684825627377
mod_wide_medium,0.8,0.6,0.7499999999999999,1.0,0.11158439851137061,0.11495849446679399,0.8984701224662386,0.8984817490333012,0.9706494420349425,1.0000129404047746,0.0012940404774671062
mod_wide_small,0.5,0.3,0.6,1.0,0.11381025999581347,0.11495849446679293,0.8984205853761359,0.8984813954937644,0.9900117474893415,1.0000676855791355,0.006768557913555129
reference,0.5,1.0,2.0,1.0,0.11124308548464637,0.11495849446679293,0.898411419515451,0.8984813954937644,0.9676804311035945,1.0000778885673016,0.0077888567301510345
square_large,0.7,0.7,1.0,1.0,0.11143889493954948,0.11495849446667314,0.8983462765059963,0.8984847036364925,0.9693837367699347,1.000154091060559,0.015409106055914284
square_medium,0.5,0.5,1.0,1.0,0.11303242884984833,0.11495849446679293,0.8984210456309689,0.8984813954937644,0.9832455563559859,1.0000671732514381,0.006717325143811279
square_small,0.2,0.2,1.0,1.0,0.11453502169771541,0.11495849446667387,0.8984425543795683,0.8984843272984633,0.9963162985830402,1.000046494813376,0.00464948133760232
very_deep_extreme,0.1,2.0,20.0,1.0,0.11329300473497443,0.11495849446667387,0.8982793416425754,0.8984843272984633,0.9855122517094005,1.0002281981187646,0.022819811876454578
very_deep_large,0.15,1.8,12.0,1.0,0.1127781424373974,0.11495849446667387,0.8982699856967685,0.8984843272984633,0.9810335718174479,1.0002386160120094,0.023861601200945864
very_deep_small,0.25,1.5,6.0,1.0,0.11203471853203342,0.11495849446677005,0.8986608528693658,0.8984853905207731,0.9745666821029761,0.9998047513163254,-0.01952486836746365
very_wide_large,1.0,0.5,0.5,1.0,0.11159080438510893,0.11495849446677098,0.8983608887143646,0.8984859811747152,0.9707051653965816,1.0001392452208484,0.013924522084844812
very_wide_medium,1.0,0.3,0.3,1.0,0.11297815601968314,0.11495849446677217,0.8983306351117425,0.8984858568350995,0.9827734483104124,1.0001727890793102,0.017278907931010973
very_wide_tiny,1.0,0.2,0.2,1.0,0.11366519608636128,0.11495849446645998,0.8984811308795835,0.8984843559662968,0.9887498667575537,1.0000035894874166,0.000358948741661058
