Config,Aspect_Ratio_Type,Width,Depth,Aspect_Ratio,Mu_Eff_Simulation,Mu_Eff_Analytical,Mu_Eff_Enhanced,Mu_Eff_Opening,Ratio_Sim,Ratio_Analytical,Ratio_Enhanced,Ratio_Opening,Relative_Error_Analytical,Relative_Error_Enhanced,Relative_Error_Opening,Total_Mass,Mouth_Flux_Total
h_equals_2w_h0.0215,h_equals_2w,0.01075,0.0215,2.0,0.9955429627846748,1.0034273958439759,0.9998239601607577,2.232191509696513,0.9955429627846748,1.0034273958439759,0.9998239601607577,2.232191509696513,0.7919731597767725,0.4300163364229243,124.21850117374711,1.1493957360287435,0.00022915970127760366
h_equals_2w_h0.0278,h_equals_2w,0.0139,0.0278,2.0,0.9956636567882369,1.0044317025331408,0.9997243202015436,2.57569780257857,0.9956636567882369,1.0044317025331408,0.9997243202015436,2.57569780257857,0.8806232591824741,0.40783485322798424,158.69155562904947,1.1493049769545067,0.00033683924329963436
h_equals_2w_h0.0359,h_equals_2w,0.01795,0.0359,2.0,0.9958703243664018,1.0057229539906387,0.9995744711044549,3.1703342907551972,0.9958703243664018,1.0057229539906387,0.9995744711044549,3.1703342907551972,0.9893486514426904,0.3719507095875917,218.34810348146934,1.1491273430735034,0.0005200447039367452
h_equals_2w_h0.0464,h_equals_2w,0.0232,0.0464,2.0,0.9958976549061817,1.0073967984725805,0.9993508384855556,2.994260822020539,0.9958976549061817,1.0073967984725805,0.9993508384855556,2.994260822020539,1.1546511340547418,0.346740808391528,200.65949119064976,1.1490752039828709,0.000631388431961494
h_equals_2w_h0.0599,h_equals_2w,0.02995,0.0599,2.0,0.9960654148220757,1.0095488842350768,0.9990251470455223,3.1464688287006877,0.9960654148220757,1.0095488842350768,0.9990251470455223,3.1464688287006877,1.3536730833496184,0.29714235424741414,215.88977810887377,1.1489245131149868,0.0008388335899022247
h_equals_2w_h0.0774,h_equals_2w,0.0387,0.0774,2.0,0.9966436344783772,1.0123386250383128,0.9985544389533701,3.1669277767897017,0.9966436344783772,1.0123386250383128,0.9985544389533701,3.1669277767897017,1.5747846087583808,0.19172394313168897,217.759294017586,1.1487596993982754,0.0010684558537018447
h_equals_2w_h0.1,h_equals_2w,0.05,0.1,2.0,0.9964650015774694,1.015941376018492,0.9978867513459481,3.1761258879024594,0.9964650015774694,1.015941376018492,0.9978867513459481,3.1761258879024594,1.9545467638291667,0.14267934811839036,218.73933182544735,1.148577024515728,0.0013550269265841094
h_equals_2w_h0.12,h_equals_2w,0.06,0.12,2.0,0.9966833112039084,1.0191296512221906,0.9972539568672798,3.127034808774345,0.9966833112039084,1.0191296512221906,0.9972539568672798,3.127034808774345,2.252103528368394,0.057254461568349416,213.74407232696146,1.1484340767675745,0.0015761595274846605
h_equals_2w_h0.15,h_equals_2w,0.075,0.15,2.0,0.9970979617369929,1.0239120640277382,0.9962500000000001,3.09874141218324,0.9970979617369929,1.0239120640277382,0.9962500000000001,3.09874141218324,2.689214432254354,0.08504297165703492,210.77602513448954,1.1482365428837318,0.001912516960053942
h_equals_2w_h0.2,h_equals_2w,0.1,0.2,2.0,0.9971930165438521,1.0318827520369844,0.9944721359549996,2.941545481588632,0.9971930165438521,1.0318827520369844,0.9944721359549996,2.941545481588632,3.478738310198231,0.27285395542406465,194.98255932273432,1.1480007534347583,0.0023710780839480694
h_equals_2w_h0.25,h_equals_2w,0.125,0.25,2.0,0.9973861562034347,1.0398534400462305,0.9926031036307983,2.8217353974859694,0.9973861562034347,1.0398534400462305,0.9926031036307983,2.8217353974859694,4.257857759370562,0.47955874892461,182.91303021759867,1.1478093546401475,0.002800330827188672
h_equals_2w_h0.35,h_equals_2w,0.175,0.35,2.0,0.9977848232748298,1.0557948160647226,0.9886871843353822,2.59186804518225,0.9977848232748298,1.0557948160647226,0.9886871843353822,2.59186804518225,5.813878046320471,0.9117836558776502,159.76222375035522,1.1475496921778514,0.003541990941075532
